#{"t_start": 1702543920.5373437, "env_id": null}
r,l,t
92.66,320,3543.068365
-32.47,409,3547.21552
90.01,318,3550.499864
-96.82,478,3555.139267
103.38,319,3564.459406
28.33,360,3568.33892
108.6,306,3571.659241
55.94,311,3575.090017
-169.45,553,3580.929542
109.92,247,3583.546392
55.57,360,3593.430105
-71.97,436,3597.71761
-38.6,415,3602.080427
36.21,396,3605.96994
107.15,250,3608.60945
111.66,310,3611.993152
-7.13,411,3622.110383
116.5,294,3625.176037
166.93,238,3627.79855
-160.63,484,3632.754335
-329.47,771,3646.161917
52.76,368,3649.888264
125.61,300,3652.823189
116.88,288,3655.773633
74.59,332,3659.121006
-185.66,592,3664.714232
96.98,366,3674.300708
152.24,259,3677.014427
127.11,328,3680.40941
-16.34,430,3684.820161
-118.32,544,3690.288327
18.32,406,3700.197799
66.1,323,3703.470711
103.35,260,3706.293945
76.79,329,3709.796876
-95.42,489,3714.868073
-104.17,519,3726.533833
71.79,302,3730.439847
-230.23,580,3738.228114
113.84,269,3742.075912
192.01,246,3745.603675
165.26,236,3748.977238
-127.82,522,3760.276619
-43.32,451,3764.710333
-37.24,469,3769.164204
-63.37,486,3774.192131
22.59,410,3777.812962
-301.31,671,3792.48795
-10.62,412,3797.932661
69.26,379,3802.78562
47.54,362,3807.545693
91.81,312,3818.046516
131.69,298,3821.664885
-642.71,1069,3831.839111
83.64,283,3834.582642
44.69,363,3844.219944
19.54,387,3848.2903
-5.56,418,3852.438721
33.28,290,3855.37341
-42.68,436,3859.691146
33.44,486,3864.74265
66.32,356,3874.625584
95.84,326,3877.858742
-377.77,793,3885.977047
79.16,358,3889.853184
-265.8,722,3904.696835
73.31,347,3909.290757
72.61,372,3914.133238
72.08,337,3918.609785
13.94,381,3923.272008
-165.64,532,3934.842064
40.49,373,3938.644174
32.64,405,3943.011008
239.03,161,3944.838794
86.63,312,3948.173831
156.62,251,3950.910455
-86.17,456,3960.721301
33.81,454,3965.083475
77.55,318,3967.929555
-64.01,446,3972.422786
64.72,430,3976.762979
136.6,261,3985.907196
179.79,314,3988.699231
143.48,283,3991.588873
46.71,373,3995.33742
-10.93,440,3999.846032
12.11,428,4004.294914
67.87,385,4014.232605
147.85,271,4017.14371
215.84,209,4019.44404
-55.23,492,4024.530707
-186.55,592,4030.484533
-209.5,607,4042.797017
100.02,273,4045.753981
-4.26,374,4049.667732
35.17,373,4053.57962
130.57,298,4056.779539
186.44,250,4065.079039
-1065.53,1474,4081.316259
38.97,385,4084.772945
143.62,271,4093.417546
244.62,192,4095.497268
181.64,274,4098.417245
127.01,315,4101.582148
182.3,266,4104.729514
77.52,342,4109.319
38.93,318,4113.576437
83.94,324,4123.627359
194.98,266,4126.468038
27.09,365,4130.243293
-365.17,757,4137.690763
144.45,299,4140.696861
21.61,415,4150.695822
182.81,288,4153.732355
177.59,288,4156.747609
179.05,229,4159.201218
-141.18,527,4164.698811
85.47,333,4168.434678
21.75,391,4178.449381
161.4,270,4181.379164
-389.91,804,4189.485687
235.42,218,4191.868313
95.32,301,4195.036268
58.5,370,4204.896904
90.11,364,4208.813477
21.4,428,4213.242249
19.52,440,4217.580263
70.1,320,4220.942127
180.44,307,4224.189776
178.0,323,4233.759558
-190.84,555,4238.940671
-64.39,481,4244.087695
22.77,367,4248.162346
151.69,247,4250.883685
180.7,304,4260.42319
-95.39,593,4266.623789
68.52,365,4270.104662
57.25,371,4273.65852
16.51,414,4277.682849
151.26,300,4285.779126
134.8,287,4288.755106
-94.93,494,4293.650936
-1.83,446,4298.072318
215.31,301,4300.819868
207.28,308,4303.376356
-48.87,461,4313.868657
191.78,211,4316.123291
181.0,324,4319.488487
220.0,256,4322.347176
0.6,417,4326.69611
116.42,305,4330.057252
-140.56,581,4342.707491
-5.53,451,4347.420665
-242.63,701,4354.663772
-88.49,608,4367.653401
-2.36,462,4372.519787
147.21,353,4376.028478
166.18,267,4378.968592
118.57,283,4382.29285
210.71,273,4385.249072
220.45,200,4387.50084
55.75,334,4397.23479
136.45,297,4400.328727
-58.96,468,4404.967531
126.9,306,4408.06461
32.57,489,4413.052511
113.26,313,4422.298642
-69.54,488,4427.568779
-39.17,465,4432.163238
-157.36,618,4438.349525
76.43,380,4442.279336
134.13,329,4451.072681
128.38,319,4454.249161
-677.55,1112,4464.448443
-209.0,643,4477.185746
-93.64,569,4483.037665
101.2,345,4486.716583
40.13,350,4490.409864
188.18,311,4493.745312
-121.02,553,4506.09488
216.96,305,4509.358897
83.47,430,4513.78476
175.2,270,4516.651085
-119.15,520,4522.076622
103.01,338,4531.408327
143.82,365,4534.663013
-381.6,819,4544.153692
288.84,211,4546.84443
146.33,290,4550.718795
-199.47,621,4564.794968
200.38,300,4568.869024
187.54,287,4572.925738
-115.65,614,4580.860764
210.29,266,4584.556773
20.21,421,4596.396857
267.92,271,4600.193909
138.52,293,4604.29889
-60.55,548,4611.109549
139.01,288,4614.199876
79.54,344,4617.856507
62.63,463,4628.364113
64.18,370,4631.772787
147.14,377,4635.723288
65.61,367,4639.500737
197.51,330,4642.59986
217.41,216,4650.874255
167.33,257,4653.676236
-199.5,633,4660.228642
-27.44,529,4665.807922
87.83,382,4669.997336
51.77,372,4679.432362
-64.33,500,4684.415065
-17.93,543,4689.799915
95.12,416,4694.04184
108.22,369,4697.89249
95.78,422,4707.154059
91.36,388,4710.843726
100.63,413,4715.035355
224.14,269,4717.881169
67.3,399,4721.708034
78.37,425,4732.156234
63.46,385,4735.789543
-10.75,508,4741.021106
-19.09,475,4745.78356
232.86,258,4748.472919
132.96,352,4757.95673
131.99,372,4761.850856
25.91,406,4765.381807
171.78,331,4768.619489
59.69,382,4772.333749
182.97,304,4775.541736
36.88,487,4786.581706
104.27,418,4791.169286
-12.66,478,4796.183798
166.61,321,4799.522969
7.21,511,4810.701497
210.39,284,4813.654625
41.97,443,4818.036398
-425.06,888,4826.670794
-31.66,506,4837.6878
164.98,298,4840.787304
117.81,382,4844.720351
119.35,305,4847.770624
-4.16,422,4852.146719
-332.34,841,4866.999322
121.9,362,4870.799673
256.9,203,4872.833707
103.39,319,4876.245022
119.93,360,4880.031925
221.73,323,4883.548336
190.5,303,4892.263498
68.35,406,4896.528377
216.95,273,4899.467408
-47.47,517,4904.986309
324.72,182,4907.030278
103.07,343,4910.671713
21.34,385,4920.761767
196.4,307,4923.961013
153.46,318,4927.332584
145.84,282,4930.333689
124.83,400,4934.609471
166.33,267,4937.464791
-278.91,762,4950.370208
297.1,228,4952.726083
120.07,361,4956.391871
118.29,404,4960.42817
31.03,453,4965.054708
105.54,326,4974.554309
135.1,380,4978.584104
-15.85,448,4983.245106
201.85,210,4985.488238
207.02,297,4988.714344
241.05,302,4991.912998
3.7,459,5002.752439
151.6,264,5005.663774
94.18,417,5009.536971
78.44,393,5013.454206
111.38,376,5017.140892
163.51,349,5026.423802
200.23,250,5028.691387
-67.71,562,5034.197813
159.37,367,5037.777655
165.17,282,5040.200539
163.49,351,5043.556295
83.86,357,5054.673702
177.54,334,5059.55559
-16.85,481,5066.278816
211.25,280,5070.347594
204.7,304,5074.541821
200.04,249,5078.045326
173.45,238,5087.554647
283.62,272,5090.391977
72.44,422,5094.610968
-79.09,501,5099.767205
28.2,437,5104.137265
183.91,330,5107.536497
164.22,322,5116.427443
141.98,344,5120.055317
188.38,238,5122.601217
213.63,293,5125.712226
17.38,487,5130.457124
72.36,309,5133.596871
226.93,285,5142.249551
283.23,261,5144.939789
276.54,219,5147.395264
240.88,257,5150.088673
188.85,307,5153.361878
196.93,331,5156.610852
236.09,243,5159.398426
135.1,373,5169.618575
3.03,464,5175.377429
172.77,348,5179.791211
106.15,368,5184.540072
194.44,296,5188.613441
152.51,344,5193.151692
10.32,498,5204.62539
163.6,294,5207.833196
106.48,365,5211.783121
196.46,247,5214.478255
143.43,264,5217.259791
-148.22,615,5229.960525
-132.5,547,5235.676932
-47.01,568,5241.677579
162.13,351,5245.432698
164.41,314,5248.853724
272.49,237,5257.591803
19.39,493,5262.525442
29.44,437,5267.064343
189.96,297,5270.144042
107.32,378,5274.089287
208.73,299,5277.200174
215.42,244,5284.850012
291.97,228,5287.324551
140.15,341,5290.831976
184.95,262,5293.266883
8.55,485,5298.175646
-20.73,527,5303.663136
39.25,435,5313.836823
317.81,202,5315.983019
28.33,430,5320.49726
177.21,349,5323.848535
170.2,311,5327.199367
180.05,297,5330.515851
60.1,438,5340.359635
183.7,279,5343.263874
17.67,500,5348.623757
129.51,294,5351.781788
244.32,256,5354.605987
81.94,414,5364.924586
157.43,254,5367.711375
-8.88,537,5372.831635
108.23,400,5376.767348
290.1,246,5379.456117
82.29,396,5383.65669
98.57,412,5394.121614
169.51,340,5397.868587
-8.26,445,5401.65868
63.63,388,5404.82768
299.3,252,5407.166248
213.16,301,5409.886155
208.45,311,5418.93414
289.61,230,5421.381882
98.53,287,5424.324292
160.74,336,5427.719556
254.31,277,5430.710686
-377.18,896,5445.559249
-100.68,575,5451.636865
84.86,409,5455.82357
-254.32,723,5463.477213
2.38,455,5474.64302
79.58,420,5479.469547
168.81,317,5483.703245
148.27,360,5487.888914
123.78,370,5491.644892
251.2,270,5500.620378
230.07,272,5503.168804
283.47,241,5505.672613
217.93,275,5508.607663
228.36,305,5511.870004
324.64,216,5514.277471
29.36,464,5519.080382
152.69,337,5528.664028
251.83,242,5531.343066
260.32,257,5534.800351
249.69,278,5538.730281
18.32,430,5544.408853
233.79,239,5546.491786
214.01,252,5549.250751
165.06,361,5558.920932
210.26,311,5561.80954
-113.74,568,5567.435172
226.28,279,5570.379184
99.56,399,5574.548859
34.96,455,5585.233605
129.77,334,5588.353771
21.75,457,5592.29183
289.19,213,5594.156134
-92.04,584,5599.312375
258.33,258,5601.99525
122.79,385,5611.646129
147.7,370,5615.467495
50.61,405,5619.59531
43.5,422,5623.863067
-104.25,598,5636.163585
85.0,346,5639.796892
270.62,232,5642.19376
204.49,335,5645.597527
198.98,320,5648.869756
-57.28,550,5654.151299
230.36,260,5663.095905
94.43,366,5666.578326
242.69,280,5669.388567
217.38,285,5672.524155
161.9,312,5675.836889
220.09,246,5678.54694
198.47,354,5682.321579
209.47,285,5691.690927
240.78,285,5695.711452
-131.88,617,5703.921772
32.08,411,5709.582796
35.84,455,5715.77867
220.85,295,5724.606491
26.86,493,5729.587651
76.07,436,5733.896224
-183.69,615,5739.770135
29.09,492,5750.896664
100.91,399,5755.021716
96.34,429,5759.517031
-37.06,522,5765.014272
107.04,418,5768.932138
200.23,297,5778.424597
-60.14,504,5783.56003
0.04,525,5788.82644
88.39,407,5793.142634
256.75,269,5796.097212
63.23,358,5805.226199
124.25,387,5809.112637
-180.52,616,5815.114406
12.95,477,5819.517806
51.14,368,5823.248011
213.95,253,5831.80529
151.46,367,5835.573869
220.98,246,5838.162554
274.21,252,5840.82905
277.14,252,5843.471784
164.71,351,5847.006928
239.83,242,5849.360263
241.15,290,5858.104445
167.69,336,5861.512225
-195.05,691,5868.601881
-2.56,503,5873.763438
114.79,343,5877.317255
74.57,320,5886.252228
240.53,282,5889.206297
114.34,396,5893.974281
160.0,330,5898.737161
140.83,391,5904.141468
264.64,249,5907.688531
60.06,378,5917.921492
268.44,238,5920.542424
25.0,450,5925.330515
192.74,268,5928.171729
-124.7,603,5934.081073
90.3,374,5943.603237
108.49,401,5947.521983
251.84,284,5950.570348
133.07,377,5954.440521
242.91,276,5957.360704
195.64,266,5960.175476
97.76,411,5970.364907
173.67,278,5973.257874
239.72,280,5976.071239
163.21,315,5979.337958
196.56,291,5982.398271
173.04,339,5985.918379
126.94,396,5989.998985
55.13,418,5999.951563
104.12,414,6004.003829
102.98,294,6006.844948
156.4,393,6011.672932
133.36,335,6016.011558
66.54,471,6028.027218
5.57,504,6034.394766
193.11,379,6039.496615
-109.29,618,6047.716975
250.94,255,6051.247105
231.11,280,6061.081467
123.19,381,6066.203198
285.88,210,6069.186577
299.71,255,6072.820968
230.5,299,6076.953202
90.29,446,6083.010997
109.46,399,6093.936799
